Media Source,Date,Tweets Ago,Text,Compound,Negative,Neutral,Positive
FoxNews,Thu Mar 08 22:35:11 +0000 2018,66,.@jasoninthehouse: “I think a lot of this comes down to the breakdown of the family. I don’t think it’s necessarily… https://t.co/6hbUl6Z5kA,0.0,1.0,0.0,0.0
FoxNews,Thu Mar 08 22:25:00 +0000 2018,67,.@jasoninthehouse: “We’re talking about taking care of ICE officers that are trying to get rid of the criminal elem… https://t.co/KG91k9Dvw5,-0.0516,0.732,0.138,0.13
FoxNews,Thu Mar 08 22:18:33 +0000 2018,68,.@kfc replaces Colonel Sanders with Claudia Sanders for #InternationalWomensDay https://t.co/SlDCSu0atD,0.0,1.0,0.0,0.0
FoxNews,Thu Mar 08 22:15:50 +0000 2018,69,PA Steelworker Thanks @realDonaldTrump: 'These Tariffs Definitely Have an Impact' https://t.co/ZbGaTiokfU,0.6808,0.616,0.0,0.384
FoxNews,Thu Mar 08 22:07:45 +0000 2018,70,SMILE! These two penguins in Antarctica aren't too cool to pose for selfies. https://t.co/ZdNfbmMKBK,0.3742,0.686,0.112,0.202
FoxNews,Thu Mar 08 22:02:00 +0000 2018,71,".@SecretaryRoss on @realDonaldTrump keeping his campaign promises: ""Anybody who doubts the president's sense of con… https://t.co/zm2zUBIDSC",0.1027,0.745,0.117,0.138
FoxNews,Thu Mar 08 22:00:01 +0000 2018,72,"Lt. Gen. Jerry Boykin on North Korea: ""I do not believe that Kim is gonna give up his nuclear weapons. He and his f… https://t.co/ebV97szyhN",-0.4404,0.892,0.108,0.0
FoxNews,Thu Mar 08 21:55:06 +0000 2018,73,"RT @FOXTV: An explosive television event, “O.J. Simpson: The Lost Confession?” airs Sunday, March 11 at 8/7c on #Fox. https://t.co/wxDffDZU…",-0.3182,0.892,0.108,0.0
FoxNews,Thu Mar 08 21:51:45 +0000 2018,74,".@SecretaryRoss on steel, aluminum tariffs: ""It's just the start of unleashing American industry from the unfair tr… https://t.co/E9CZbuyEuT",-0.4767,0.846,0.154,0.0
FoxNews,Thu Mar 08 21:48:39 +0000 2018,75,"Moments ago, President @realDonaldTrump signed an order that imposed tariffs on steel and aluminum imports from all… https://t.co/K7suxdQG21",-0.0772,0.929,0.071,0.0
FoxNews,Thu Mar 08 21:40:00 +0000 2018,76,"""I love my son more than anything in this world...but at the end of the day, I'm responsible for his choices in lif… https://t.co/98ArYafPFM",0.7579,0.772,0.0,0.228
FoxNews,Thu Mar 08 21:35:00 +0000 2018,77,Man arrested for calling 911 four times to complain about clam chowder https://t.co/SdzeLwYAXO,-0.6808,0.663,0.337,0.0
FoxNews,Thu Mar 08 21:30:00 +0000 2018,78,OPINION: Our obsession with high scores is killing us -- Not everything that can be counted counts https://t.co/gn2TYS8MzX,-0.7783,0.702,0.298,0.0
FoxNews,Thu Mar 08 21:29:29 +0000 2018,79,"Trump signs order imposing tariffs on all imports of steel, aluminum; exempts Mexico, Canada for now - via… https://t.co/emcNvii3K4",-0.1027,0.924,0.076,0.0
nytimes,Thu Mar 08 23:17:05 +0000 2018,80,"RT @jessicabennett: Since 1851, obituaries in @nytimes have been dominated by white men. Just 20% have been women. 

Today we introduce Ove…",0.0,1.0,0.0,0.0
nytimes,Thu Mar 08 23:02:02 +0000 2018,81,"Disney has turned to one of its favorite filmmakers, Jon Favreau, to produce and write a live-action “Star Wars” TV… https://t.co/kVD2k4rE4U",0.4588,0.864,0.0,0.136
